2230,1,www.google.com,10.12.34.56
2231,2,www.facebook.com,10.12.34.57
2232,3,www.twitter.com,10.12.34.58
2233,4,www.rediff.com,10.12.34.59
2234,5,www.msn.com,10.12.34.60
2235,6,www.nytimes.com,10.12.34.61
2236,7,www.guardian.com,10.12.34.62
2237,1,www.google.com,10.12.34.56
2238,2,www.facebook.com,10.12.34.57
2239,3,www.twitter.com,10.12.34.58
2240,4,www.rediff.com,10.12.34.59
2241,5,www.msn.com,10.12.34.60
2242,6,www.nytimes.com,10.12.34.61
2243,7,www.guardian.com,10.12.34.62
2244,1,www.google.com,10.12.34.56
2245,2,www.facebook.com,10.12.34.57
2246,3,www.twitter.com,10.12.34.58
2247,4,www.rediff.com,10.12.34.59
2248,5,www.msn.com,10.12.34.60
2230,6,www.nytimes.com,10.12.34.61
2231,7,www.guardian.com,10.12.34.62
